id,timestamp,location_timestamp,temperature,is_battery_charging,battery_charge_percentage,billing_amount,registration_status_id,allocated_memory_percentage,is_network_data_connected,node_id,is_synced
3001,73652198916620288,,83,1,90,,0,39,1,0,0
3002,73652230521946112,,80,1,90,,0,37,1,0,0
3003,73652262035062784,,85,1,90,,0,43,1,0,0
3004,73652293851021312,,73,1,90,,0,48,1,0,0
3005,73652325408964608,,81,1,90,,0,54,1,0,0
3006,73652356878893056,,80,1,90,,0,60,1,0,0
3007,73652388535402496,,83,1,90,,0,66,1,0,0
3008,73652420039475200,,78,1,90,,0,40,1,0,0
3009,73652451909173248,,78,1,90,,0,45,1,0,0
3010,73652483492216832,,87,1,90,,0,51,1,0,0
3011,73652516367106048,,81,1,90,,0,56,1,0,0
3012,73652548073881600,,80,1,90,,0,62,1,0,0
3013,73652580113776640,,80,1,90,,0,67,1,0,0
3014,73652611608477696,,82,1,90,,0,39,1,0,0
3015,73652644347248640,,81,1,70,,0,45,1,0,0
3016,73652676857298944,,81,1,90,,0,48,1,0,0
3017,73652708432216064,,82,1,90,,0,53,1,0,0
3018,73652714674651136,,81,1,90,,0,56,1,0,0
3019,73652721372626944,,81,1,90,,0,56,0,0,0
3020,73652740076208128,,84,1,90,,0,59,1,0,0
3021,73652772340891648,,85,1,90,,0,64,1,0,0
3022,73652803808067584,,85,1,90,,0,70,1,0,0
3023,73652835368435712,,84,1,90,,0,41,1,0,0
3024,73652866869624832,,78,1,90,,0,46,1,0,0
3025,73652898520956928,,80,1,90,,0,52,1,0,0
3026,73652930470019072,,79,1,90,,0,57,1,0,0
3027,73652961950171136,,79,1,90,,0,63,1,0,0
3028,73652993416232960,,75,1,90,,0,68,1,0,0
3029,73653025056620544,,82,1,90,,0,39,1,0,0
3030,73653056556826624,,75,1,90,,0,45,1,0,0
3031,73653088724058112,,84,1,90,,0,50,1,0,0
3032,73653120225116160,,82,1,90,,0,56,1,0,0
3033,73653151745048576,,84,1,90,,0,62,1,0,0
3034,73653183276646400,,83,1,90,,0,67,1,0,0
3035,73653214776524800,,68,1,90,,0,39,1,0,0
3036,73653246326210560,,80,1,90,,0,45,1,0,0
3037,73653278153375744,,81,1,90,,0,50,1,0,0
3038,73653309708369920,,80,1,90,,0,56,1,0,0
3039,73653341263560704,,77,1,90,,0,62,1,0,0
3040,73653372886188032,,76,1,90,,0,67,1,0,0
3041,73653404389736448,,79,1,90,,0,38,1,0,0
