id,timestamp,location_timestamp,sim_id,arfcn,code,sig_pow,sig_quality,sig_rssi,sig_snr,sig_cinr,source_id,technology,param1,param2,param3,param4,param5,info,plmn_id,lac,rac,cell_id,frame_type,node_id,is_synced
317996,73604354445890151,,0,3300,489.0,-1000,-130.0,-770.0,,,2,4,,,,,,,,,,,45458,0,0
317997,73604354445890151,,0,3300,460.0,-1040,-180.0,-760.0,,,2,4,,,,,,,,,,,45458,0,0
317998,73604354650079232,,0,3300,,-1000,-130.0,-650.0,0.0,0.0,3,4,,,,,,,43211.0,44200.0,,23055618.0,0,0,0
317999,73604357964991757,,0,1423,490.0,-910,-170.0,-600.0,,,2,4,,,,,,,,,,,45458,0,0
318000,73604358139054861,,0,3102,489.0,-990,-150.0,-740.0,,,2,4,,,,,,,,,,,45458,0,0
318001,73604358541706960,,0,3102,490.0,-1080,-220.0,-720.0,,,2,4,,,,,,,,,,,45458,0,0
318002,73604358859259904,,0,3300,,-1000,-150.0,-640.0,-30.0,0.0,3,4,,,,,,,43211.0,44200.0,,23055618.0,0,0,0
318003,73604359795798744,,0,3102,460.0,-1130,-300.0,-740.0,,,2,4,,,,,,,,,,,45458,0,0
318004,73604360777260074,,0,3102,95.0,-1140,-300.0,-740.0,,,2,4,,,,,,,,,,,45458,0,0
318005,73604360921388874,,0,3300,489.0,-1010,-140.0,-750.0,,,2,4,,,,,,,,,,,45461,0,0
318006,73604360921388874,,0,3300,460.0,-1150,-300.0,-760.0,,,2,4,,,,,,,,,,,45461,0,0
318007,73604360925676874,,0,3300,95.0,-1150,-290.0,,,,2,4,,,,,,,,,,,45433,0,0
318008,73604362383670256,,0,3102,489.0,-980,-130.0,-750.0,,,2,4,,,,,,,,,,,45458,0,0
318009,73604362492721226,,0,3102,490.0,-1110,-220.0,-750.0,,,2,4,,,,,,,,,,,45458,0,0
318010,73604362632969309,,0,3300,490.0,-1000,-140.0,-670.0,-12.0,,1,4,274.0,1517.0,,,,,,,,,45459,0,0
318011,73604363150819328,,0,3300,,-1000,-140.0,-650.0,-20.0,0.0,3,4,,,,,,,43211.0,44200.0,,23055618.0,0,0,0
318012,73604366726618832,,0,3300,490.0,-990,-150.0,-660.0,-32.0,,1,4,274.0,9324.0,,,,,,,,,45459,0,0
318013,73604366726735930,,0,3300,460.0,-1070,-230.0,-750.0,,,2,4,,,,,,,,,,,45458,0,0
318014,73604366726735930,,0,3300,489.0,-990,-150.0,-750.0,,,2,4,,,,,,,,,,,45458,0,0
318015,73604366726735930,,0,3300,95.0,-1050,-200.0,-740.0,,,2,4,,,,,,,,,,,45458,0,0
318016,73604366898910244,,0,3102,489.0,-1000,-170.0,-740.0,,,2,4,,,,,,,,,,,45458,0,0
