count,timestamp,sourceId,arfcn,locationTimestamp,pci,plmnId,rsrp,rsrq,rssi
87,73606490464368229,2,425,,90.0,,-1131.7241379310344,-234.13793103448276,-799.8850574712644
116,73607423566413824,3,450,,,,-854.051724137931,-77.93103448275862,-581.2931034482758
6,73603798434840940,2,450,,5.0,,-1040.0,-281.6666666666667,-670.0
4,73603674373056743,2,450,,15.0,,-987.5,-202.5,-690.0
2,73604652816822297,2,450,,38.0,,-1050.0,-300.0,-660.0
10,73603652707380199,2,450,,40.0,,-981.0,-239.0,-652.0
11,73604077800863554,2,450,,43.0,,-1033.6363636363637,-274.54545454545456,-675.0
4,73606292816461643,2,450,,49.0,,-1100.0,-277.5,-740.0
2,73604632087178386,2,450,,50.0,,-1060.0,-300.0,-670.0
6,73604177637762014,2,450,,54.0,,-1001.6666666666666,-245.0,-676.6666666666666
2,73604324198634654,2,450,,55.0,,-965.0,-220.0,-660.0
2,73607413807233316,2,450,,57.0,,-965.0,-245.0,-640.0
2,73604663597444188,2,450,,86.0,,-1060.0,-300.0,-670.0
2,73607127153026161,2,450,,89.0,,-1115.0,-300.0,-730.0
4,73603672194154998,2,450,,90.0,,-1050.0,-300.0,-660.0
2,73607079583685349,2,450,,91.0,,-1030.0,-300.0,-640.0
17,73606295094848541,2,450,,93.0,,-1074.1176470588234,-242.35294117647058,-732.5
79,73607421251165668,2,450,,95.0,,-1056.3291139240507,-260.88607594936707,-700.4761904761905
2,73603655363076119,2,450,,103.0,,-940.0,-190.0,-660.0
4,73603670930410089,2,450,,124.0,,-997.5,-212.5,-695.0
2,73604593800371268,2,450,,131.0,,-990.0,-245.0,-660.0
2,73603795497115627,2,450,,133.0,,-1050.0,-300.0,-660.0
2,73604674983022870,2,450,,147.0,,-1060.0,-300.0,-670.0
55,73607299522196178,2,450,,148.0,,-1040.909090909091,-242.0,-703.5897435897435
15,73607102958096398,2,450,,153.0,,-1028.6666666666667,-270.0,-673.75
2,73604585903473707,2,450,,164.0,,-1060.0,-300.0,-670.0
8,73604680336002252,2,450,,167.0,,-1065.0,-300.0,-675.0
2,73603665213479208,2,450,,180.0,,-1050.0,-300.0,-660.0
10,73604672506720304,2,450,,185.0,,-1018.0,-265.0,-664.0
2,73606235097156472,2,450,,206.0,,-1125.0,-270.0,-770.0
6,73604623832690645,2,450,,209.0,,-1008.3333333333334,-240.0,-686.6666666666666
6,73604650649974107,2,450,,214.0,,-1060.0,-300.0,-670.0
2,73604674364362312,2,450,,217.0,,-1060.0,-300.0,-670.0
2,73604581667971276,2,450,,220.0,,-1060.0,-300.0,-670.0
6,73604590211716011,2,450,,233.0,,-1055.0,-296.6666666666667,-666.6666666666666
6,73607048187546013,2,450,,235.0,,-1038.3333333333333,-278.3333333333333,-676.6666666666666
2,73606289699330575,2,450,,263.0,,-1125.0,-300.0,-740.0
4,73604122834444764,2,450,,267.0,,-1060.0,-300.0,-670.0
2,73604324198634654,2,450,,274.0,,-995.0,-240.0,-660.0
2,73603797107741896,2,450,,277.0,,-1050.0,-300.0,-660.0
11,73606299406088815,2,450,,281.0,,-1102.7272727272727,-256.3636363636364,-765.0
2,73604680218390893,2,450,,284.0,,-1070.0,-300.0,-680.0
6,73604568218710879,2,450,,286.0,,-1025.0,-270.0,-663.3333333333334
2,73604176500316055,2,450,,299.0,,-1060.0,-300.0,-670.0
6,73604614711637595,2,450,,300.0,,-1036.6666666666667,-278.3333333333333,-666.6666666666666
2,73604072240341178,2,450,,307.0,,-1095.0,-300.0,-710.0
8,73607229256822739,2,450,,311.0,,-957.5,-223.75,-660.0
8,73604316844215238,2,450,,343.0,,-1033.75,-271.25,-672.5
107,73607423176122469,2,450,,347.0,,-1041.4018691588785,-270.2803738317757,-677.9518072289156
6,73604680097188319,2,450,,355.0,,-1056.6666666666667,-300.0,-666.6666666666666
72,73607421557738994,2,450,,356.0,,-1061.5277777777778,-263.6111111111111,-708.936170212766
2,73604598898417667,2,450,,361.0,,-1050.0,-300.0,-660.0
2,73603678828868102,2,450,,375.0,,-1070.0,-300.0,-680.0
8,73606288358386029,2,450,,380.0,,-1138.75,-223.75,-817.5
133,73607423176122469,2,450,,406.0,,-1038.7218045112782,-260.0,-688.9583333333334
99,73607423176122469,2,450,,407.0,,-1051.8181818181818,-268.7878787878788,-693.3823529411765
4,73603664530526151,2,450,,421.0,,-1077.5,-300.0,-685.0
2,73604647912478889,2,450,,422.0,,-1060.0,-300.0,-670.0
2,73606267323268212,2,450,,423.0,,-1120.0,-270.0,-740.0
