count,timestamp,sourceId,arfcn,locationTimestamp,psc,plmnId,rscp,ecn0
7,73606217956196352,3,10838,,,,-628.5714285714286,-32.857142857142854
9,73606217066263697,5,10838,,225.0,,-766.6666666666666,-111.66666666666667
7,73606217066263697,5,10838,,354.0,,-782.8571428571429,-125.0
9,73606217066263697,4,10838,,472.0,,-727.7777777777778,-75.55555555555556
2,73606217066263697,5,10838,,501.0,,-860.0,-217.5
