id,timestamp,location_timestamp,sim_id,technology,band,ul_arfcn,dl_arfcn,code,ul_bw,dl_bw,plmn_id,lac,rac,cell_id,param1,param2,param3,param4,param5,info,lifetime,source_id,frame_type,node_id,is_synced
173321,73603618228207616,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,10502,3,0,0,0
173322,73603618778906624,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,10522,3,0,0,0
173323,73603619250962432,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,11627,3,0,0,0
173324,73603619839606784,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,8597,3,0,0,0
173325,73603620311597056,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,8995,3,0,0,0
173326,73603620887461888,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,11048,3,0,0,0
173327,73603621369675776,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,9129,3,0,0,0
173328,73603621252016426,,0,4,-1.0,21300.0,3300,489.0,20,20,43211,44200,,23055619,,,,,,,360,1,45250,0,0
173329,73603621913559040,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,10005,3,0,0,0
173330,73603622417596416,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,9638,3,0,0,0
173331,73603622968229888,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,10630,3,0,0,0
173332,73603623440285696,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,8854,3,0,0,0
173333,73603623990853632,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,10505,3,0,0,0
173334,73603624559116288,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,10856,3,0,0,0
173335,73603625267757056,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,13587,3,0,0,0
173336,73603625732407296,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,8798,3,0,0,0
173337,73603626283433984,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,10526,3,0,0,0
173338,73603626834460672,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,10464,3,0,0,0
173339,73603627355275264,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,9958,3,0,0,0
173340,73603627827200000,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,8978,3,0,0,0
