id,timestamp,location_timestamp,temperature,is_battery_charging,battery_charge_percentage,billing_amount,registration_status_id,allocated_memory_percentage,is_network_data_connected,node_id,is_synced
1808,73603592954642432,,61,1,90,,0,69,0,0,0
1809,73603598773452800,,61,1,90,,0,69,1,0,0
1810,73603630234861568,,63,1,90,,1,73,1,0,0
1811,73603661820264448,,64,1,90,,1,53,1,0,0
1812,73603693280362496,,58,1,90,,1,62,1,0,0
1813,73603724740526080,,66,1,90,,1,34,1,0,0
1814,73603756206456832,,66,1,90,,1,49,1,0,0
1815,73603787675795456,,59,1,90,,1,35,1,0,0
1816,73603819150704640,,65,1,90,,1,43,1,0,0
1817,73603850610540544,,63,1,90,,1,55,1,0,0
1818,73603882070704128,,66,1,90,,1,69,1,0,0
1819,73603913534537728,,65,1,90,,1,73,1,0,0
1820,73603944993718272,,67,1,90,,1,38,1,0,0
1821,73604027734753280,,63,1,100,,1,67,1,0,0
1822,73604059310456832,,63,1,90,,1,71,1,0,0
1823,73604090871480320,,72,1,90,,1,59,1,0,0
1824,73604122368147456,,66,1,90,,1,46,1,0,0
1825,73604153829031936,,67,1,90,,1,43,1,0,0
1826,73604185329434624,,70,1,90,,1,45,1,0,0
1827,73604216845959168,,72,1,90,,1,57,1,0,0
1828,73604248685838336,,69,1,100,,1,28,1,0,0
1829,73604280251449344,,65,1,90,,1,69,1,0,0
1830,73604311742873600,,65,1,90,,1,35,1,0,0
1831,73604343251468288,,65,1,90,,1,80,1,0,0
1832,73604374777888768,,67,1,90,,1,28,1,0,0
1833,73604406251880448,,69,1,90,,1,68,1,0,0
1834,73604437752283136,,69,1,70,,1,63,1,0,0
1835,73604469227913216,,67,1,90,,1,79,1,0,0
1836,73604500688338944,,71,1,90,,1,64,1,0,0
1837,73604532147847168,,71,1,70,,1,55,1,0,0
1838,73604563649363968,,69,1,100,,1,53,1,0,0
1839,73604595115753472,,67,1,90,,1,36,1,0,0
1840,73604626628149248,,67,1,90,,1,27,1,0,0
1841,73604658092834816,,67,1,90,,1,67,1,0,0
1842,73604689557520384,,67,1,90,,1,44,1,0,0
1843,73604704812466176,,63,1,90,,0,51,0,0,0
