id,timestamp,location_timestamp,temperature,is_battery_charging,battery_charge_percentage,billing_amount,registration_status_id,allocated_memory_percentage,is_network_data_connected,node_id,is_synced
1992,73613951482068992,,79,1,70,,0,73,0,0,0
1993,73613957267849216,,79,1,50,,0,73,1,0,0
1994,73613988754030592,,80,1,70,,0,74,1,0,0
1995,73614020217274368,,84,1,70,,0,54,1,0,0
1996,73614051679076352,,80,1,70,,0,62,1,0,0
1997,73614083150970880,,83,1,70,,0,70,1,0,0
1998,73614114612772864,,77,1,70,,0,53,1,0,0
1999,73614146074705920,,84,1,70,,0,43,1,0,0
2000,73614177551908864,,85,1,70,,0,54,1,0,0
2001,73614209065549824,,85,1,70,,0,62,1,0,0
2002,73614240526499840,,82,1,70,,0,69,1,0,0
2003,73614271991644160,,85,1,70,,0,51,1,0,0
2004,73614303457312768,,82,1,70,,0,59,1,0,0
2005,73614334920163328,,85,1,70,,0,67,1,0,0
2006,73614366383669248,,85,1,70,,0,50,1,0,0
2007,73614397850386432,,84,1,70,,0,58,1,0,0
2008,73614429353803776,,84,1,70,,0,64,1,0,0
2009,73614460820783104,,84,1,70,,0,72,1,0,0
2010,73614492539944960,,86,1,70,,0,54,1,0,0
2011,73614524020490240,,85,1,70,,0,61,1,0,0
2012,73614555600846848,,85,1,70,,0,47,1,0,0
2013,73614587066187776,,84,1,90,,0,54,1,0,0
2014,73614618539261952,,86,1,70,,0,62,1,0,0
2015,73614650003488768,,84,1,70,,0,70,1,0,0
2016,73614681465094144,,85,1,70,,0,49,1,0,0
2017,73614712925913088,,84,1,70,,0,56,1,0,0
2018,73614744388173824,,85,1,70,,0,44,1,0,0
2019,73614775872192512,,77,1,70,,0,53,1,0,0
2020,73614807441670144,,80,1,70,,0,60,1,0,0
2021,73614839009837056,,84,1,70,,0,68,1,0,0
2022,73614870507225088,,85,1,90,,0,46,1,0,0
2023,73614901975842816,,85,1,70,,0,55,1,0,0
2024,73614933438365696,,84,1,70,,0,62,1,0,0
2025,73614964956987392,,84,1,70,,0,50,1,0,0
2026,73614996432093184,,85,1,70,,0,58,1,0,0
2027,73615027910148096,,87,1,70,,0,65,1,0,0
2028,73615059468419072,,81,1,70,,0,73,1,0,0
2029,73615090939985920,,84,1,70,,0,52,1,0,0
2030,73615122450350080,,86,1,70,,0,59,1,0,0
2031,73615153989222400,,85,1,70,,0,47,1,0,0
2032,73615185470160896,,84,1,70,,0,54,1,0,0
2033,73615216937598976,,80,1,70,,0,62,1,0,0
2034,73615248399269888,,82,1,50,,0,70,1,0,0
2035,73615279885647872,,87,1,70,,0,51,1,0,0
2036,73615311351185408,,80,1,50,,0,59,1,0,0
2037,73615342819475456,,84,1,70,,0,45,1,0,0
2038,73615374282719232,,82,1,70,,0,53,1,0,0
2039,73615405761363968,,86,1,70,,0,61,1,0,0
2040,73615437230243840,,82,1,70,,0,68,1,0,0
2041,73615468739559424,,86,1,70,,0,47,1,0,0
2042,73615500252545024,,85,1,90,,0,55,1,0,0
2043,73615531728502784,,79,1,70,,0,63,1,0,0
2044,73615563245879296,,80,1,50,,0,51,1,0,0
2045,73615594710040576,,81,1,70,,0,59,1,0,0
2046,73615626177150976,,83,1,70,,0,66,1,0,0
2047,73615657654288384,,85,1,70,,0,74,1,0,0
2048,73615689123823616,,84,1,70,,0,53,1,0,0
2049,73615720685502464,,80,1,70,,0,61,1,0,0
2050,73615752160608256,,87,1,70,,0,49,1,0,0
2051,73615783652950016,,85,1,70,,0,57,1,0,0
2052,73615815118225408,,85,1,70,,0,65,1,0,0
2053,73615846579830784,,83,1,70,,0,73,1,0,0
2054,73615878176243712,,84,1,70,,0,54,1,0,0
2055,73615909731827712,,85,1,70,,0,61,1,0,0
2056,73615941207916544,,80,1,70,,0,47,1,0,0
2057,73615972676993024,,82,1,70,,0,54,1,0,0
2058,73616004243128320,,85,1,70,,0,61,1,0,0
2059,73616035710894080,,86,1,70,,0,69,1,0,0
2060,73616067179446272,,85,1,70,,0,47,1,0,0
2061,73616098642100224,,85,1,70,,0,55,1,0,0
2062,73616130103574528,,85,1,70,,0,43,1,0,0
2063,73616161566228480,,85,1,70,,0,52,1,0,0
2064,73616193028096000,,80,1,70,,0,59,1,0,0
2065,73616224492650496,,84,1,70,,0,67,1,0,0
2066,73616255955697664,,84,1,70,,0,75,1,0,0
