id,timestamp,location_timestamp,temperature,is_battery_charging,battery_charge_percentage,billing_amount,registration_status_id,allocated_memory_percentage,is_network_data_connected,node_id,is_synced
2421,73634847277318144,,66,1,90,,0,46,0,0,0
2422,73634853407031296,,66,1,90,,0,46,1,0,0
2423,73634885094539264,,72,1,90,,0,67,1,0,0
2424,73634916562698240,,68,1,90,,0,52,1,0,0
2425,73634948154392576,,71,1,90,,0,60,1,0,0
2426,73634979845636096,,69,1,90,,0,68,1,0,0
2427,73635011308158976,,77,1,90,,0,52,1,0,0
2428,73635043120447488,,81,1,90,,0,44,1,0,0
2429,73635074605645824,,78,1,70,,0,55,1,0,0
2430,73635106470952960,,70,1,90,,0,63,1,0,0
2431,73635138111471616,,77,1,90,,0,44,1,0,0
2432,73635169658404864,,68,1,90,,0,49,1,0,0
2433,73635201118765056,,73,1,90,,0,46,1,0,0
2434,73635232659865600,,79,1,90,,0,54,1,0,0
2435,73635264128942080,,72,1,90,,0,49,1,0,0
2436,73635295854329856,,72,1,90,,0,57,1,0,0
2437,73635327441436672,,77,1,90,,0,66,1,0,0
2438,73635358906056704,,80,1,90,,0,48,1,0,0
2439,73635390451154944,,75,1,90,,0,56,1,0,0
2440,73635422060085248,,75,1,90,,0,65,1,0,0
2441,73635453541613568,,80,1,90,,0,50,1,0,0
2442,73635485017047040,,75,1,90,,0,58,1,0,0
2443,73635516516466688,,73,1,90,,0,66,1,0,0
2444,73635548169306112,,78,1,90,,0,74,1,0,0
2445,73635579639365632,,79,1,90,,0,54,1,0,0
2446,73635611130003456,,76,1,90,,0,62,1,0,0
2447,73635642599931904,,69,1,70,,0,66,1,0,0
2448,73635674066845696,,71,1,90,,0,51,1,0,0
2449,73635705814908928,,73,1,90,,0,59,1,0,0
2450,73635737426722816,,69,1,90,,0,67,1,0,0
2451,73635737437339648,,69,1,90,,0,67,1,0,0
2452,73635744232505344,,69,1,90,,0,71,0,0,0
2453,73635768910544896,,74,1,90,,0,74,1,0,0
2454,73635800575311872,,70,1,90,,0,47,1,0,0
2455,73635832065949696,,77,1,90,,0,46,1,0,0
2456,73635863570874368,,74,1,90,,0,45,1,0,0
2457,73635895057842176,,78,1,90,,0,45,1,0,0
2458,73635926702948352,,77,1,70,,0,45,1,0,0
2459,73635958176088064,,76,1,90,,0,43,1,0,0
2460,73636003537879040,,67,1,90,,0,45,1,0,0
2461,73636011190255616,,67,1,90,,0,45,1,0,0
2462,73636017654988800,,67,1,90,,0,45,0,0,0
2463,73636035561979904,,77,1,90,,0,43,1,0,0
2464,73636067062317056,,80,1,90,,0,43,1,0,0
2465,73636099016949760,,75,1,90,,0,43,1,0,0
2466,73636131066609664,,74,1,90,,0,43,1,0,0
2467,73636162530312192,,70,1,90,,0,43,1,0,0
2468,73636194292858880,,75,1,90,,0,43,1,0,0
2469,73636225777074176,,69,1,90,,0,43,1,0,0
2470,73636257858781184,,72,1,90,,0,45,1,0,0
2471,73636289412464640,,73,1,90,,0,45,1,0,0
2472,73636320980631552,,73,1,90,,0,45,1,0,0
2473,73636352803078144,,80,1,90,,0,47,1,0,0
2474,73636381206380544,,71,1,90,,0,55,1,0,0
2475,73636384384352256,,71,1,90,,0,55,0,0,0
2476,73636387853303808,,75,1,90,,0,45,0,0,0
2477,73636395087888384,,75,1,90,,0,45,1,0,0
2478,73636401503338496,,75,1,90,,0,45,0,0,0
2479,73636416396656640,,77,1,90,,0,45,1,0,0
2480,73636447870189568,,77,1,90,,0,44,1,0,0
2481,73636479348703232,,80,1,90,,0,44,1,0,0
2482,73636511568166912,,75,1,90,,0,43,1,0,0
2483,73636543085477888,,74,1,90,,0,45,1,0,0
2484,73636574550687744,,70,1,90,,0,45,1,0,0
