id,timestamp,location_timestamp,sim_id,technology,band,ul_arfcn,dl_arfcn,code,ul_bw,dl_bw,plmn_id,lac,rac,cell_id,param1,param2,param3,param4,param5,info,lifetime,source_id,frame_type,node_id,is_synced
101712,73566254864728064,,0,3,,,10813,,5,5,43211,34200,50.0,2734571,,,,,,,9023,3,0,0,1
101713,73566255502944310,,0,4,-1.0,19423.0,1423,489.0,20,20,43211,44200,,23055629,,,,,,,14211,1,45250,0,1
101714,73566255606988800,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,5359,3,0,0,1
101715,73566255573649799,,0,4,-1.0,18450.0,450,489.0,10,10,43211,44200,,23055639,,,,,,,0,1,45250,0,1
101716,73566256108797952,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,4132,3,0,0,1
101717,73566256659890176,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10541,3,0,0,1
101718,73566257181229056,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,9917,3,0,0,1
101719,73566257370801491,,0,4,-1.0,18450.0,450,489.0,10,10,43211,44200,,23055639,,,,,,,4292,1,45250,0,1
101720,73566257584589488,,0,4,-1.0,19423.0,1423,489.0,20,20,43211,44200,,23055629,,,,,,,4286,1,45250,0,1
101721,73566257657348096,,0,4,,,1423,,20,20,43211,44200,,23055629,,,,,,,877,3,0,0,1
101722,73566257636451282,,0,4,-1.0,21300.0,3300,490.0,20,20,43211,44200,,23055618,,,,,,,321,1,45250,0,1
101723,73566258214731776,,0,4,,,3300,,20,20,43211,44200,,23055618,,,,,,,10039,3,0,0,1
101724,73566258332430630,,0,4,-1.0,21300.0,3300,489.0,20,20,43211,44200,,23055619,,,,,,,3227,1,45250,0,1
101725,73566258722963456,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,6368,3,0,0,1
101726,73566258792506884,,0,3,-1.0,9888.0,10838,472.0,5,5,43211,34200,50.0,2697489,,,,,,,2121,1,16679,0,1
101727,73566259236044800,,0,3,,,10838,,5,5,43211,34200,50.0,2697489,,,,,,,7668,3,0,0,1
101728,73566259832356864,,0,3,,,10838,,5,5,43211,34200,50.0,2697489,,,,,,,11550,3,0,0,1
101729,73566260285341696,,0,3,,,10838,,5,5,43211,34200,50.0,2697489,,,,,,,8471,3,0,0,1
101730,73566260835975168,,0,3,,,10838,,5,5,43211,34200,50.0,2697489,,,,,,,10508,3,0,0,1
101731,73566261308096512,,0,3,,,10838,,5,5,43211,34200,50.0,2697489,,,,,,,9417,3,0,0,1
101732,73566261948448768,,0,3,,,10838,,5,5,43211,34200,50.0,2697489,,,,,,,11837,3,0,0,1
101733,73566262083243855,,0,4,-1.0,21102.0,3102,489.0,20,20,43211,44200,,23055669,,,,,,,3869,1,45250,0,1
101734,73566262478110720,,0,4,,,3102,,20,20,43211,44200,,23055669,,,,,,,6822,3,0,0,1
101735,73566262755673400,,0,4,-1.0,21102.0,3102,489.0,20,20,43211,44200,,23055669,,,,,,,5508,1,45250,0,1
