id,timestamp,systemTimestamp,location_timestamp,serving_cell_timestamp,sim_id,technology,direction,category_id,channel_type_id,name_id,name_extra_id,msg_hex,radio_bearer_id,arfcn,code,param1,param2,info,node_id,is_synced
899255,73566255524880915,73566255566867664,,7.35662555029443e+16,0,4,1,2,6,1,0,0C00B93B839CC5B837A5624536FCAF5749BFFEDEAA48D1996378,0,1423,489,20.0,39608.0,,0,1
899256,73566255524305620,73566255566867664,,7.35662555029443e+16,0,4,1,3,7,97,0,07614307864969AB394C024507864969AB394C0246414742603280209441490100,0,1423,489,591104.0,,,0,1
899257,73566255525622914,73566255566867664,,7.35662555029443e+16,0,4,2,2,8,9,0,480124E687E027E1C075FDA0,0,1423,489,20.0,0.0,,0,1
899258,73566255525560304,73566255566867664,,7.35662555029443e+16,0,4,2,3,2,202,0,5200CA000000000000,0,1423,489,591104.0,,,0,1
899259,73566255517218528,73566255556014896,,7.35662555029443e+16,0,4,2,2,8,5,0,2800,0,1423,489,20.0,0.0,,0,1
899260,73566255504423837,73566255545004848,,7.35662555029443e+16,0,4,1,2,1,0,0,0014920AC24340CE330CA320C6310C2300BE2F0BA2E0B62D0B22C0AF1FF104658C0B62D8961D8560C7FC4119520FD47515435C56F5B56B5A567595635855F5755B56557555535454F5354B6057F5F57B5E5775D5731FF104600000000000000000,0,1423,489,20.0,0.0,,0,1
899261,73566255571707575,73566255610016560,,7.35662555029443e+16,0,4,2,2,8,2,0,1200,0,450,489,20.0,0.0,,0,1
899262,73566255570224766,73566255609911712,,7.35662556069888e+16,0,4,1,2,2,0,0,02E901C201000000020132,0,-1,-1,,,,0,1
899263,73566255567966610,73566255609911712,,7.35662556069888e+16,0,4,1,2,6,4,0,201B2A004011802218C0110DFE900E10C187F77FE3256FDCFA0D80A5800600401006E0D17EA5579A835001940180D002BF600DDE90C63F950F00030083E6CC0003918000B84480,0,1423,489,20.0,40928.0,,0,1
899264,73566255573646799,73566255609964128,,7.35662556069888e+16,0,4,1,2,1,0,0,000DD4010695A920E343006A48421C69A32609884518690B43390AD49475A403B4B43078AD49475A41A06ED2DCE62D058F2B5251D6A200C0804E2210861A192EC04228C348,0,450,489,20.0,0.0,,0,1
899265,73566255566070164,73566255609859280,,7.35662556069888e+16,0,4,2,2,8,1,0,0810383C07A5B76C,0,1423,489,20.0,0.0,,0,1
899266,73566255573648799,73566255609964128,,7.35662556069888e+16,0,4,1,2,1,0,0,0014920AC24340CE330CA320C6310C2300BE2F0BA2E0B62D0B22C0AF1FF104658C0B62D8961D8560C7FC4119520FD47515435C56F5B56B5A567595635855F5755B56557555535454F5354B6057F5F57B5E5775D5731FF104600000000000000000,0,450,489,20.0,0.0,,0,1
899267,73566255573645799,73566255609964128,,7.35662555736498e+16,0,4,1,2,1,0,0,000885DA4D4000,0,450,489,20.0,0.0,,0,1
899268,73566255571580763,73566255610016560,,7.35662555736498e+16,0,4,1,2,6,4,0,221015C8400000E13410000836218014415ACB8408D8850DC40638C70DC610A47856B203000010044010C23A00E00602CE00,0,450,489,20.0,41033.0,,0,1
899269,73566255570356108,73566255609911712,,7.35662555736498e+16,0,4,1,2,1,1,0,60D0C823A191DF59502BF9A2F046A010040C21611308D848DE000000,0,450,489,20.0,40997.0,,0,1
899270,73566255573647799,73566255609964128,,7.35662555736498e+16,0,4,1,2,1,0,0,00110DA95A0C81533351EC1000A664BE66320528C979AC640A518800,0,450,489,20.0,0.0,,0,1
899271,73566255569312615,73566255609911712,,7.35662555736498e+16,0,4,2,2,8,2,0,10B0,0,450,489,20.0,0.0,,0,1
899272,73566255570436799,73566255609964128,,7.35662555736498e+16,0,4,1,2,1,0,0,00824C95BF648FA0D80A5800600008037068BF52ABC1A800CA00C02EDD801C584000C0044FC5988FB4800000000000,0,450,489,20.0,0.0,,0,1
899273,73566255703565071,73566255741717712,,7.35662555736498e+16,0,4,1,2,1,1,0,60D0C823A191DF59502BF9A2F046A010040C21611308D848DE000000,0,450,489,20.0,45061.0,,0,1
899274,73566255703916983,73566255741717712,,7.35662555736498e+16,0,4,1,2,2,0,0,02E901C201000000030132,0,-1,-1,,,,0,1
899275,73566257368734676,73566257406279680,,7.356625718122906e+16,0,4,1,2,6,5,0,2802,0,450,489,20.0,46727.0,,0,1
899276,73566257571445705,73566257613635584,,7.356625737080149e+16,0,4,2,2,7,1,0,408EC1D85C28,0,450,489,20.0,0.0,,0,1
899277,73566257571306857,73566257613635584,,7.356625737080149e+16,0,4,2,3,7,3072,0,C7AF79ED,0,450,489,591104.0,,,0,1
899278,73566257580486818,73566257616152160,,7.356625737080149e+16,0,4,1,2,1,1,0,60D0C823A191DF59502BF9A1B046A110040C21611308D848DA000000,0,1423,489,20.0,36805.0,,0,1
899279,73566257583796344,73566257616152160,,7.356625737080149e+16,0,4,1,2,1,0,0,0014920AC24340CE330CA320C6310C2300BE2F0BA2E0B62D0B22C0AF1FF104658C0B62D8961D8560C7FC4119520FD47515435C56F5B56B5A567595635855F5755B56557555535454F5354B6057F5F57B5E5775D5731FF104600000000000000000,0,1423,489,20.0,0.0,,0,1
899280,73566257581337488,73566257616204592,,7.356625737080149e+16,0,4,2,2,7,1,0,408EC1D85C28,0,1423,489,20.0,0.0,,0,1
899281,73566257583794344,73566257616152160,,7.356625737080149e+16,0,4,1,2,1,0,0,000DD6010695A920E34D1A03844228DB4D0768600D4908438D3464C13108A30D216867213A928EB4825B9CB2316860F13A928EB4845B9CB7688C63040271108430D0C9760211461A400000,0,1423,489,20.0,0.0,,0,1
899282,73566257580545344,73566257616152160,,7.356625737080149e+16,0,4,1,2,1,0,0,00824C95BF648FA0D80E6A00600008037068BF52ABC1A800CA00C02EDD801C584000C0044FC5B8AD7F510000000000,0,1423,489,20.0,0.0,,0,1
899283,73566257583793344,73566257616152160,,7.356625737080149e+16,0,4,1,2,1,0,0,00088018,0,1423,489,20.0,0.0,,0,1
899284,73566257583795344,73566257616152160,,7.356625737080149e+16,0,4,1,2,1,0,0,00110DA95A0C81533351EC1000A664BE66320528C979AC640A518800,0,1423,489,20.0,0.0,,0,1
899285,73566257579116639,73566257613688016,,7.356625737080149e+16,0,4,1,2,2,0,0,02E9018F050000F8000264,0,-1,-1,,,,0,1
899286,73566257583314390,73566257627424352,,7.356625758458949e+16,0,4,1,2,5,3,0,6012980FFD8E04BB007CAA8B7535C38032D8A116BF40204C,0,1423,489,20.0,4128.0,,0,1
899287,73566257585983941,73566257627424352,,7.356625758458949e+16,0,4,1,2,6,6,0,300120,0,1423,489,20.0,36977.0,,0,1
899288,73566257582942608,73566257627371936,,7.356625758458949e+16,0,4,1,2,2,0,0,02E9018F05000000010264,0,-1,-1,,,,0,1
899289,73566257586309061,73566257627424352,,7.356625758458949e+16,0,4,1,2,6,4,0,201215C84010067255608000B1F50C011807C568201051056B2E2023C214371819631C371800008422088611F95120380180919A1C0FFD8E041F513301EBB1C50E8462DDE93163E0,0,1423,489,20.0,36983.0,,0,1
899290,73566257586522254,73566257627424352,,7.356625758458949e+16,0,4,2,2,8,2,0,1000,0,1423,489,20.0,0.0,,0,1
899291,73566257591562120,73566257627424352,,7.356625758458949e+16,0,4,1,2,6,7,0,380040,0,1423,489,20.0,37143.0,,0,1
899292,73566257586028123,73566257627424352,,7.356625758458949e+16,0,4,2,2,8,5,0,2800,0,1423,489,20.0,0.0,,0,1
899293,73566257582518383,73566257627371936,,7.356625758458949e+16,0,4,1,2,1,1,0,60D0C823A191DF59502BF9A1B046A110040C21611308D848DA000000,0,1423,489,20.0,36869.0,,0,1
899294,73566257591853649,73566257627476784,,7.356625758458949e+16,0,4,2,2,8,7,0,380113440028AA8CAAB541A955AA22920C1120006000540842118A6BF3C91C4108C34314D70006F529800287492DE91346CC13021468FF00,0,1423,489,20.0,0.0,,0,1
899295,73566257583468215,73566257627424352,,7.356625758458949e+16,0,4,2,2,8,4,0,2010098F5EF3DAA0,0,1423,489,20.0,0.0,,0,1
899296,73566257633649724,73566257671883984,,7.356625758458949e+16,0,4,1,2,6,4,0,201BAA004011802218C0110D7EA067203240BFFC64ADFBBDE2301CB400C0080200DC162FD4AAF7506A003280301A0057EC01BBD210C7F2A1E00060107AE1C0305A5085AFD008170890402C00,0,1423,489,20.0,38432.0,,0,1
899297,73566257636016239,73566257671883984,,7.35662576573481e+16,0,4,1,2,1,1,0,60D0C823A191DF59502BF9A05046A30C040C22611B09190000000000,0,3300,490,20.0,38501.0,,0,1
899298,73566257634706740,73566257671883984,,7.35662576573481e+16,0,4,2,2,8,2,0,10B0,0,3300,490,20.0,0.0,,0,1
899299,73566257631553811,73566257671831552,,7.356625758458949e+16,0,4,2,2,8,1,0,0810373C07A9AA3C,0,1423,489,20.0,0.0,,0,1
899300,73566257636072408,73566257671883984,,7.35662576573481e+16,0,4,1,2,1,0,0,00824C95BF649EF1180E5A00600008037058BF52ABC1A800CA00C02EDD801C584000C0044905B88D7F510000000000,0,3300,490,20.0,0.0,,0,1
899301,73566257639329408,73566257671936416,,7.35662576573481e+16,0,4,1,2,1,0,0,0014920AC24340CE330CA320C6310C2300BE2F0BA2E0B62D0B22C0AF1FF104658C0B62D8961D8560C7FC4119520FD47515435C56F5B56B5A567595635855F5755B56557555535454F5354B6057F5F57B5E5775D5731FF104600000000000000000,0,3300,490,20.0,0.0,,0,1
899302,73566257636799640,73566257671988832,,7.35662576573481e+16,0,4,1,2,6,4,0,221015C8400006725410800709A88C00A20AD65C204644286E2031C6386E30834342B5901800008022008611D00700301650,0,3300,490,20.0,38521.0,,0,1
899303,73566257639327408,73566257671883984,,7.35662576573481e+16,0,4,1,2,1,0,0,000DD6010691A920E34D1803844228DB4D1803524210E34D13304C4228C340E6290C1E235251D6803B500B1E46A4A3AD0804E2210861A112EC04228C34,0,3300,490,20.0,0.0,,0,1
899304,73566257636420549,73566257671936416,,7.35662576573481e+16,0,4,1,2,2,0,0,02EA01E40C000064010264,0,-1,-1,,,,0,1
899305,73566257639328408,73566257671883984,,7.35662576573481e+16,0,4,1,2,1,0,0,00110DA8F6080053325F3319029464BCD6320528CD4AD0640A998800,0,3300,490,20.0,0.0,,0,1
899306,73566257636905073,73566257671988832,,7.356625763645128e+16,0,4,2,2,8,2,0,1200,0,3300,490,20.0,0.0,,0,1
899307,73566257717157653,73566257759702224,,7.356625763645128e+16,0,4,1,2,2,0,0,02EA01E40C000000020264,0,-1,-1,,,,0,1
899308,73566257716860099,73566257759387648,,7.356625763645128e+16,0,4,1,2,1,1,0,60D0C823A191DF59502BF9A05046A30C040C22611B09190000000000,0,3300,490,20.0,40965.0,,0,1
899309,73566258028394288,73566258071915728,,7.356625763645128e+16,0,4,2,2,8,2,0,1400,0,3300,490,20.0,0.0,,0,1
