id,timestamp,location_timestamp,sim_id,arfcn,code,sig_pow,sig_quality,sig_rssi,sig_snr,sig_cinr,source_id,technology,param1,param2,param3,param4,param5,info,plmn_id,lac,rac,cell_id,frame_type,node_id,is_synced
314315,73602342788900567,,0,3300,300.0,-1160,-300,-770.0,,,2,4,,,,,,,,,,,45461,0,1
314316,73602342818476567,,0,3300,300.0,-1160,-300,,,,2,4,,,,,,,,,,,45433,0,1
314317,73602342822359870,,0,3300,300.0,-1170,-300,-780.0,,,2,4,,,,,,,,,,,45461,0,1
314318,73602342851936870,,0,3300,300.0,-1160,-290,,,,2,4,,,,,,,,,,,45433,0,1
314319,73602342832900764,,0,3300,300.0,-1140,-300,-750.0,,,2,4,,,,,,,,,,,45461,0,1
314320,73602342862478764,,0,3300,300.0,-1150,-290,,,,2,4,,,,,,,,,,,45433,0,1
314321,73602343335928668,,0,3102,490.0,-1050,-170,-760.0,,,2,4,,,,,,,,,,,45458,0,1
314322,73602343335928668,,0,3102,95.0,-1160,-300,-770.0,,,2,4,,,,,,,,,,,45458,0,1
314323,73602343409335401,,0,3300,4.0,-1070,-180,-780.0,,,2,4,,,,,,,,,,,45461,0,1
314324,73602343438936401,,0,3300,4.0,-1090,-260,,,,2,4,,,,,,,,,,,45433,0,1
314325,73602343920181346,,0,10838,472.0,-720,-95,-720.0,,,4,3,,,,,,,,,,,16687,0,1
314326,73602344260861952,,0,10838,,-750,-100,-750.0,,,3,3,,,,,,,43211.0,34200.0,,2697489.0,0,0,1
314327,73602348450054144,,0,10838,,-720,-70,-720.0,,,3,3,,,,,,,43211.0,34200.0,,2697489.0,0,0,1
314328,73602352697966592,,0,10838,,-720,-100,-720.0,,,3,3,,,,,,,43211.0,34200.0,,2697489.0,0,0,1
314329,73602356867104768,,0,10838,,-730,-80,-730.0,,,3,3,,,,,,,43211.0,34200.0,,2697489.0,0,0,1
314330,73602357063498831,,0,10838,354.0,-820,-215,-820.0,,,5,3,,,,,,,,,,,16687,0,1
314331,73602357063498831,,0,10838,472.0,-760,-145,-760.0,,,4,3,,,,,,,,,,,16687,0,1
314332,73602357063498831,,0,10838,225.0,-780,-165,-780.0,,,5,3,,,,,,,,,,,16687,0,1
314333,73602361122488320,,0,10838,,-730,-70,-730.0,,,3,3,,,,,,,43211.0,34200.0,,2697489.0,0,0,1
314334,73602363366644805,,0,10838,472.0,-750,-140,-750.0,,,4,3,,,,,,,,,,,16687,0,1
314335,73602363366644805,,0,10838,354.0,-830,-215,-830.0,,,5,3,,,,,,,,,,,16687,0,1
314336,73602363366644805,,0,10838,225.0,-780,-170,-780.0,,,5,3,,,,,,,,,,,16687,0,1
314337,73602365291823104,,0,10838,,-760,-120,-760.0,,,3,3,,,,,,,43211.0,34200.0,,2697489.0,0,0,1
314338,73602366256626573,,0,1423,489.0,-840,-80,-550.0,86.0,,1,4,274.0,5077.0,,,,,,,,,45459,0,1
314339,73602366257437964,,0,1423,490.0,-890,-190,-600.0,,,2,4,,,,,,,,,,,45461,0,1
314340,73602366288923914,,0,450,489.0,-860,-100,-670.0,,,2,4,,,,,,,,,,,45458,0,1
314341,73602366288923914,,0,450,460.0,-1050,-300,-660.0,,,2,4,,,,,,,,,,,45458,0,1
314342,73602366288923914,,0,450,490.0,-980,-210,-670.0,,,2,4,,,,,,,,,,,45458,0,1
314343,73602366390904603,,0,450,347.0,-1010,-260,,,,2,4,,,,,,,,,,,45433,0,1
314344,73602366390904603,,0,450,406.0,-1020,-250,,,,2,4,,,,,,,,,,,45433,0,1
314345,73602366361239603,,0,450,148.0,-1080,-300,-690.0,,,2,4,,,,,,,,,,,45461,0,1
314346,73602366390904603,,0,450,148.0,-1080,-300,,,,2,4,,,,,,,,,,,45433,0,1
314347,73602366430380032,,0,450,,-830,-70,-550.0,80.0,0.0,3,4,,,,,,,43211.0,44200.0,,23055639.0,0,0,1
