count,timestamp,sourceId,arfcn,locationTimestamp,psc,plmnId,rscp,ecn0
9,73602421178826752,3,10813,,,,-735.5555555555555,-103.33333333333333
9,73602422934232093,5,10813,,225.0,,-787.7777777777778,-160.0
8,73602421190056990,5,10813,,354.0,,-785.0,-156.25
9,73602421190056990,4,10813,,472.0,,-728.8888888888889,-110.0
8,73602432190513152,3,10838,,,,-730.0,-91.25
2,73602363366644805,5,10838,,225.0,,-780.0,-167.5
2,73602363366644805,5,10838,,354.0,,-825.0,-215.0
4,73602427761597458,4,10838,,472.0,,-742.5,-123.75
