count,timestamp,sourceId,arfcn,locationTimestamp,pci,plmnId,rsrp,rsrq,rssi
2,73602366907809792,3,450,,,,-835.0,-65.0,-575.0
2,73602375147823364,2,450,,95.0,,-1030.0,-255.0,-685.0
5,73602366407685197,2,450,,148.0,,-1040.0,-276.0,-673.3333333333334
3,73602417932399968,2,450,,347.0,,-1050.0,-286.6666666666667,-680.0
1,73602366616251873,2,450,,356.0,,-1100.0,-300.0,-710.0
4,73602406869083744,2,450,,406.0,,-997.5,-230.0,-670.0
3,73602395019356113,2,450,,407.0,,-983.3333333333334,-183.33333333333334,-696.6666666666666
6,73602414436047450,2,450,,460.0,,-1035.0,-245.0,-693.3333333333334
12,73602417932399968,2,450,,489.0,,-845.0,-95.0,-634.1666666666666
7,73602414366841496,2,450,,490.0,,-987.1428571428571,-224.28571428571428,-664.2857142857143
1,73602414408785128,2,450,,491.0,,-1110.0,-300.0,-720.0
9,73602424345853952,3,1423,,,,-841.1111111111111,-105.55555555555556,-530.0
1,73602406101290756,2,1423,,59.0,,-1020.0,-300.0,-630.0
4,73602413312291025,2,1423,,95.0,,-922.5,-252.5,-577.5
7,73602419086098063,2,1423,,124.0,,-992.8571428571429,-291.42857142857144,-606.6666666666666
5,73602411422945919,2,1423,,148.0,,-924.0,-244.0,-595.0
10,73602387407007545,2,1423,,180.0,,-949.0,-234.0,-612.0
5,73602414571180611,2,1423,,273.0,,-924.0,-212.0,-616.6666666666666
1,73602407576176836,2,1423,,281.0,,-1020.0,-300.0,
2,73602424229403492,2,1423,,347.0,,-975.0,-300.0,-590.0
1,73602414175811579,2,1423,,356.0,,-1040.0,-300.0,
9,73602424295403657,2,1423,,406.0,,-974.4444444444445,-291.1111111111111,-595.0
2,73602405876772739,2,1423,,426.0,,-960.0,-300.0,-570.0
8,73602418190038502,2,1423,,460.0,,-982.5,-300.0,-601.4285714285714
15,73602426760534170,2,1423,,489.0,,-834.6666666666666,-106.0,-555.3333333333334
10,73602424229403492,2,1423,,490.0,,-924.0,-196.0,-591.25
4,73602424330094291,2,3102,,95.0,,-1125.0,-265.0,-760.0
1,73602388393483184,2,3102,,406.0,,-1050.0,-170.0,-790.0
8,73602424594336729,2,3102,,460.0,,-1071.25,-218.75,-760.0
8,73602424514644732,2,3102,,489.0,,-1017.5,-147.5,-757.5
6,73602418830501059,2,3102,,490.0,,-1030.0,-173.33333333333334,-755.0
6,73602424861818880,3,3300,,,,-1001.6666666666666,-135.0,-653.3333333333334
2,73602343438936401,2,3300,,4.0,,-1080.0,-220.0,-780.0
4,73602425158173145,2,3300,,59.0,,-1150.0,-277.5,-780.0
10,73602424720740164,2,3300,,95.0,,-1081.0,-196.0,-784.0
1,73602406669118704,2,3300,,238.0,,-1080.0,-190.0,-790.0
2,73602393565774733,2,3300,,281.0,,-1060.0,-190.0,-770.0
6,73602342862478764,2,3300,,300.0,,-1156.6666666666667,-296.6666666666667,-766.6666666666666
6,73602395248131943,2,3300,,385.0,,-1140.0,-266.6666666666667,-786.6666666666666
4,73602426130074690,2,3300,,406.0,,-1052.5,-175.0,-785.0
2,73602394110565456,2,3300,,407.0,,-1135.0,-250.0,-795.0
10,73602424268809089,2,3300,,460.0,,-1089.0,-199.0,-788.0
11,73602424268809089,2,3300,,489.0,,-1011.8181818181819,-132.72727272727272,-775.4545454545455
14,73602424653485480,1,3300,,490.0,,-1004.2857142857143,-120.71428571428571,-754.2857142857143
